codigo_ibge,municipio_nome,populacao_2022,total_casos_periodo,taxa_por_10k_hab
260005,ABREU E LIMA,98462,45,4.5702910767605776
260010,AFOGADOS DA INGAZEIRA,40241,6,1.4910166248353667
260020,AFRANIO,18674,54,28.917211095640997
260030,AGRESTINA,23779,9,3.784852180495395
260040,AGUA PRETA,26461,6,2.267488001209327
260050,AGUAS BELAS,41548,9,2.1661692500240686
260060,ALAGOINHA,13542,3,2.215330084182543
260070,ALIANCA,35741,54,15.108698693377354
260080,ALTINHO,20674,12,5.804391989939054
260090,AMARAJI,18205,496,272.4526229057951
260100,ANGELIM,10241,3,2.9294014256420273
260105,ARACOIABA,19243,3,1.5590084706126903
260110,ARARIPINA,85088,392,46.06995110943964
260120,ARCOVERDE,77742,595,76.53520619484964
260130,BARRA DE GUABIRABA,12263,20,16.309222865530458
260140,BARREIROS,40121,37,9.222103138007528
260160,BELEM DE SAO FRANCISCO,18301,32,17.4853833123873
260170,BELO JARDIM,79507,3,0.37732526695762636
260180,BETANIA,11232,8,7.122507122507123
260190,BEZERROS,61694,79,12.80513502123383
260200,BODOCO,34478,2,0.5800800510470445
260210,BOM CONSELHO,44294,8,1.8061136948570913
260220,BOM JARDIM,37629,12,3.189029737702304
260230,BONITO,37474,24,6.4044404120189995
260250,BREJINHO,7720,1,1.2953367875647668
260260,BREJO DA MADRE DE DEUS,48648,40,8.2223318533136
260270,BUENOS AIRES,12808,2,1.561524047470331
260280,BUIQUE,52097,552,105.95619709388257
260290,CABO DE SANTO AGOSTINHO,203440,175,8.602044828942194
260300,CABROBO,30294,143,47.204066811909954
260310,CACHOEIRINHA,19899,56,28.142117694356504
260320,CAETES,28827,3,1.0406910188365075
260340,CALUMBI,5228,3,5.738332058148432
260345,CAMARAGIBE,147771,139,9.406446461078291
260350,CAMOCIM DE SAO FELIX,17419,65,37.315574946897065
260360,CAMUTANGA,7750,2,2.5806451612903225
260370,CANHOTINHO,24329,19,7.809609930535575
260380,CAPOEIRAS,18338,1,0.5453157378121932
260390,CARNAIBA,18644,122,65.43660158764213
260392,CARNAUBEIRA DA PENHA,12239,14,11.438843042732248
260400,CARPINA,79293,142,17.908264285624206
260410,CARUARU,378048,2665,70.49369392246487
260415,CASINHAS,12967,2,1.5423768026528881
260420,CATENDE,32156,8,2.4878716258241074
260430,CEDRO,10518,109,103.63186917664956
260440,CHA DE ALEGRIA,12984,3,2.310536044362292
260450,CHA GRANDE,20546,3,1.4601382264187674
260460,CONDADO,24587,6,2.440313987066336
260470,CORRENTES,17131,4,2.3349483392679935
260480,CORTES,10198,2,1.9611688566385566
260490,CUMARU,15920,2,1.256281407035176
260500,CUPIRA,23518,63,26.78799217620546
260510,CUSTODIA,37699,580,153.8502347542375
260515,DORMENTES,17188,145,84.36118222015361
260520,ESCADA,59891,17,2.838489923360772
260530,EXU,31843,13,4.082529912382627
260540,FEIRA NOVA,21427,65,30.335557940915667
260545,FERNANDO DE NORONHA,3167,21,66.30880959898958
260550,FERREIROS,15026,36,23.958471981898043
260570,FLORESTA,30137,45,14.931811394631184
260590,GAMELEIRA,18214,7,3.8431975403535743
260600,GARANHUNS,142506,419,29.402270781581123
260610,GLORIA DO GOITA,29347,12,4.089003986778887
260620,GOIANA,81055,43,5.305039787798408
260630,GRANITO,6967,12,17.224056265250468
260640,GRAVATA,86516,243,28.087290212215084
260650,IATI,17165,2,1.1651616661811826
260660,IBIMIRIM,26593,117,43.99654044297372
260670,IBIRAJUBA,7140,63,88.23529411764706
260680,IGARASSU,115196,16,1.388937115872079
260690,IGUARACY,11081,11,9.926901904160275
260700,INAJA,25603,91,35.542709838690776
260710,INGAZEIRA,4765,11,23.08499475341028
260720,IPOJUCA,98932,5670,573.1209315489427
260730,IPUBI,29009,1,0.34472060395049814
260740,ITACURUBA,4284,28,65.359477124183
260750,ITAIBA,32650,4,1.225114854517611
260760,ILHA DE ITAMARACA,24540,36,14.66992665036675
260765,ITAMBE,34935,22,6.297409474738801
260770,ITAPETIM,13791,10,7.2511057936335295
260775,ITAPISSUMA,27749,8,2.882986774298173
260780,ITAQUITINGA,16554,13,7.853086867222424
260790,JABOATAO DOS GUARARAPES,644037,417,6.4747832810847825
260795,JAQUEIRA,10247,1,0.9758953840148337
260800,JATAUBA,15843,12,7.574323044877864
260805,JATOBA,14020,61,43.509272467902996
260810,JOAO ALFREDO,27725,16,5.770964833183048
260820,JOAQUIM NABUCO,13269,6,4.521817770743839
260825,JUCATI,11517,2,1.7365633411478685
260830,JUPI,15329,1,0.6523582751647204
260840,JUREMA,13648,1,0.7327080890973036
260845,LAGOA DO CARRO,17981,1,0.5561425949613481
260850,LAGOA DE ITAENGA,19003,2,1.0524654001999685
260860,LAGOA DO OURO,11933,34,28.492415989273447
260875,LAGOA GRANDE,24088,26,10.793756227167055
260880,LAJEDO,39582,20,5.052801778586225
260890,LIMOEIRO,56510,114,20.17342063351619
260900,MACAPARANA,23879,79,33.083462456551786
260910,MACHADOS,11333,4,3.52951557398747
260915,MANARI,23763,16,6.733156587972899
260920,MARAIAL,9359,9,9.61641200983011
260930,MIRANDIBA,14166,38,26.824791754906116
260940,MORENO,55292,258,46.66136149895102
260950,NAZARE DA MATA,30648,11,3.5891412163925867
260960,OLINDA,349976,279,7.971975221158022
260970,OROBO,21808,25,11.463683052090976
260980,OROCO,13613,6,4.407551605083376
260990,OURICURI,65245,135,20.69124070810024
261000,PALMARES,54584,39,7.144950901363037
261020,PANELAS,22991,25,10.87382019050933
261030,PARANATAMA,12199,13,10.65661119763915
261040,PARNAMIRIM,18612,4,2.149151085321298
261050,PASSIRA,28340,11,3.8814396612561755
261060,PAUDALHO,56665,295,52.06035471631519
261070,PAULISTA,342167,271,7.920109186449892
261080,PEDRA,22795,52,22.812020179864007
261090,PESQUEIRA,62722,42,6.696215044163132
261100,PETROLANDIA,34161,1,0.2927314774157665
261110,PETROLINA,386791,1150,29.731818992685973
261120,POCAO,10500,1,0.9523809523809524
261130,POMBOS,27552,8,2.9036004645760745
261140,PRIMAVERA,13838,6,4.335886688827865
261150,QUIPAPA,17928,2,1.1155734047300312
261153,QUIXABA,6554,3,4.5773573390296
261160,RECIFE,1488920,2833,19.027214356714936
261170,RIACHO DAS ALMAS,20639,17,8.236833179902128
261180,RIBEIRAO,33507,2,0.5968902020473333
261190,RIO FORMOSO,20009,152,75.96581538307763
261200,SAIRE,10887,3,2.7555800496004412
261210,SALGADINHO,5727,3,5.238344683080147
261220,SALGUEIRO,62372,174,27.89713332905791
261230,SALOA,13836,3,2.168256721595837
261240,SANHARO,18624,67,35.97508591065292
261245,SANTA CRUZ,13841,17,12.282349541218121
261247,SANTA CRUZ DA BAIXA VERDE,11567,1,0.864528399757932
261250,SANTA CRUZ DO CAPIBARIBE,98254,98,9.974148635170069
261255,SANTA FILOMENA,12106,2,1.6520733520568311
261260,SANTA MARIA DA BOA VISTA,40578,1,0.2464389570703337
261270,SANTA MARIA DO CAMBUCA,14013,1,0.7136230642974382
261280,SANTA TEREZINHA,10244,4,3.904724716907458
261290,SAO BENEDITO DO SUL,13113,1,0.7626019980172348
261300,SAO BENTO DO UNA,49449,7,1.4155999110194342
261310,SAO CAITANO,37126,81,21.817594138878412
261320,SAO JOAO,23837,95,39.854008474220755
261330,SAO JOAQUIM DO MONTE,20037,19,9.482457453710635
261340,SAO JOSE DA COROA GRANDE,18825,4,2.1248339973439574
261350,SAO JOSE DO BELMONTE,34843,21,6.027035559509802
261360,SAO JOSE DO EGITO,31004,6,1.9352341633337633
261370,SAO LOURENCO DA MATA,111249,35,3.1460956952422046
261380,SAO VICENTE FERRER,16677,75,44.97211728728188
261390,SERRA TALHADA,92228,148,16.047187405126426
261400,SERRITA,18207,220,120.83264678420387
261410,SERTANIA,32811,96,29.258480387674865
261420,SIRINHAEM,37596,62,16.491116076178315
261430,MOREILANDIA,10540,10,9.487666034155598
261450,SURUBIM,64120,10,1.5595757953836555
261460,TABIRA,27681,13,4.6963621256457495
261470,TACAIMBO,13738,1,0.7279079924297569
261480,TACARATU,23902,11,4.602125345159401
261485,TAMANDARE,23561,12,5.093162429438479
