Zika Vírus - Notificações registradas no Sistema de Informação de Agravos de Notificação - Pernambuco
Todos os casos por Município de residência e Ano 1º Sintoma(s)
Período:2016-2025
"Município de residência";"<1975";"1981";"1985";"1987";"1988";"1994";"1996";"1997";"1998";"2001";"2006";"2007";"2008";"2009";"2010";"2011";"2013";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"Total"
"260005 ABREU E LIMA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;-;13;8;-;6;1;4;3;2;47
"260010 AFOGADOS DA INGAZEIRA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;-;-;-;2;-;-;-;-;6
"260020 AFRANIO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;15;3;21;-;14;2;56
"260030 AGRESTINA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;2;-;2;-;3;2;11
"260040 AGUA PRETA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;4;-;-;1;-;6
"260050 AGUAS BELAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;5;2;1;-;-;-;-;-;9
"260060 ALAGOINHA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;3;6
"260070 ALIANCA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;2;-;-;-;44;-;54
"260080 ALTINHO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;-;-;-;2;5;1;-;2;14
"260090 AMARAJI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;3;5;56;323;48;8;49;-;496
"260100 ANGELIM";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;3
"260105 ARACOIABA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;1;4
"260110 ARARIPINA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;4;-;-;1;11;3;207;82;83;10;402
"260120 ARCOVERDE";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;19;8;6;458;97;7;2;598
"260130 BARRA DE GUABIRABA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;5;2;11;2;22
"260140 BARREIROS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;20;7;-;8;4;41
"260160 BELEM DE SAO FRANCISCO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;3;-;3;14;-;10;1;33
"260170 BELO JARDIM";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;3
"260180 BETANIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;1;1;-;-;8
"260190 BEZERROS";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2;61;2;7;1;2;-;1;-;3;1;81
"260200 BODOCO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;1;3
"260210 BOM CONSELHO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;4;-;-;-;1;-;2;10
"260220 BOM JARDIM";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;5;1;3;1;13
"260230 BONITO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9;-;7;-;-;2;2;3;1;-;24
"260250 BREJINHO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"260260 BREJO DA MADRE DE DEUS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;29;-;1;1;41
"260270 BUENOS AIRES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;3
"260280 BUIQUE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;2;6;3;14;200;92;231;-;552
"260290 CABO DE SANTO AGOSTINHO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;31;38;25;47;12;8;13;5;180
"260300 CABROBO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;20;19;19;55;4;24;3;146
"260310 CACHOEIRINHA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;46;-;-;-;-;-;-;-;6;-;56
"260320 CAETES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;3
"260340 CALUMBI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;3
